"","E_F_galit_gutman.png","E_F_ilanit.png","E_F_ninet.png","E_F_rotem_sela.png","E_F_shiri.png","E_M_asi.png","E_M_danker.png","E_M_ido.png","E_M_liorA.png","E_M_yuda.png","P_F_michaeli.png","P_F_regev.png","P_F_shaked.png","P_F_staiv.png","P_M_benet.png","P_M_buji.png","P_M_gantz.png","P_M_lapid.png","P_M_saar.png","P_M_smut.png"
"E_F_galit_gutman.png",NA,1.86666666666667,3.2,2.13333333333333,3.26666666666667,3.33333333333333,3.2,3.57142857142857,4.14285714285714,3.33333333333333,4.86666666666667,5.06666666666667,4.93333333333333,5.1,5.46666666666667,5.66666666666667,5.6,4.86666666666667,5.35714285714286,5.64285714285714
"E_F_ilanit.png",1.86666666666667,NA,3.88235294117647,2.3125,3.625,3,3.29411764705882,3.33333333333333,4,2.88235294117647,4.5625,4.875,4.47058823529412,5.2,5.41176470588235,5.4375,5.29411764705882,4.88235294117647,5.125,5.53333333333333
"E_F_ninet.png",3.2,3.88235294117647,NA,2.70588235294118,1.64705882352941,2.61111111111111,2,3.5,4,2.5,5,5.17647058823529,4.88888888888889,5,5.55555555555556,5.52941176470588,5.44444444444444,5.38888888888889,5.47058823529412,5.8125
"E_F_rotem_sela.png",2.13333333333333,2.3125,2.70588235294118,NA,2.58823529411765,1.88888888888889,2.76470588235294,3.17647058823529,3.73333333333333,2.47058823529412,5.05882352941176,5.27777777777778,4.94444444444444,5.09090909090909,5.61111111111111,5.72222222222222,5.27777777777778,5.27777777777778,5.41176470588235,5.76470588235294
"E_F_shiri.png",3.26666666666667,3.625,1.64705882352941,2.58823529411765,NA,3,2.11764705882353,3.3125,4.2,2.94117647058824,4.82352941176471,4.88235294117647,5.05882352941176,5.27272727272727,5.64705882352941,5.64705882352941,5.64705882352941,5.23529411764706,5.4375,5.6875
"E_M_asi.png",3.33333333333333,3,2.61111111111111,1.88888888888889,3,NA,2.33333333333333,2.70588235294118,3.53333333333333,2.94444444444444,5.17647058823529,5.11111111111111,5.15789473684211,5.18181818181818,5.42105263157895,5.22222222222222,5.05263157894737,5.10526315789474,4.77777777777778,5.70588235294118
"E_M_danker.png",3.2,3.29411764705882,2,2.76470588235294,2.11764705882353,2.33333333333333,NA,3.125,3.8,2.27777777777778,5.35294117647059,5.35294117647059,5.5,5,5.38888888888889,5.35294117647059,5.5,5.38888888888889,5.11764705882353,5.5
"E_M_ido.png",3.57142857142857,3.33333333333333,3.5,3.17647058823529,3.3125,2.70588235294118,3.125,NA,2.66666666666667,2.75,4.9375,5.47058823529412,5.29411764705882,5.09090909090909,5.23529411764706,5.11764705882353,5.29411764705882,4.88235294117647,5.1875,5.25
"E_M_liorA.png",4.14285714285714,4,4,3.73333333333333,4.2,3.53333333333333,3.8,2.66666666666667,NA,3.66666666666667,4.13333333333333,5.13333333333333,5.2,5.36363636363636,5.13333333333333,5.06666666666667,4.53333333333333,4.13333333333333,5.07142857142857,5.28571428571429
"E_M_yuda.png",3.33333333333333,2.88235294117647,2.5,2.47058823529412,2.94117647058824,2.94444444444444,2.27777777777778,2.75,3.66666666666667,NA,5.35294117647059,5.52941176470588,5.55555555555556,5.27272727272727,5.22222222222222,5.47058823529412,5.22222222222222,4.72222222222222,5.23529411764706,5.625
"P_F_michaeli.png",4.86666666666667,4.5625,5,5.05882352941176,4.82352941176471,5.17647058823529,5.35294117647059,4.9375,4.13333333333333,5.35294117647059,NA,2.64705882352941,3,2.27272727272727,2.88235294117647,2.64705882352941,2.76470588235294,2.82352941176471,3,3.875
"P_F_regev.png",5.06666666666667,4.875,5.17647058823529,5.27777777777778,4.88235294117647,5.11111111111111,5.35294117647059,5.47058823529412,5.13333333333333,5.52941176470588,2.64705882352941,NA,2.38888888888889,3.27272727272727,2.72222222222222,3.11111111111111,2.83333333333333,3.05555555555556,2.82352941176471,2.88235294117647
"P_F_shaked.png",4.93333333333333,4.47058823529412,4.88888888888889,4.94444444444444,5.05882352941176,5.15789473684211,5.5,5.29411764705882,5.2,5.55555555555556,3,2.38888888888889,NA,2.90909090909091,2.15789473684211,3,3.21052631578947,2.78947368421053,3,2.76470588235294
"P_F_staiv.png",5.1,5.2,5,5.09090909090909,5.27272727272727,5.18181818181818,5,5.09090909090909,5.36363636363636,5.27272727272727,2.27272727272727,3.27272727272727,2.90909090909091,NA,3.45454545454545,2.63636363636364,2.72727272727273,2.72727272727273,3,4
"P_M_benet.png",5.46666666666667,5.41176470588235,5.55555555555556,5.61111111111111,5.64705882352941,5.42105263157895,5.38888888888889,5.23529411764706,5.13333333333333,5.22222222222222,2.88235294117647,2.72222222222222,2.15789473684211,3.45454545454545,NA,2.77777777777778,2.57894736842105,2.73684210526316,2.22222222222222,2.41176470588235
"P_M_buji.png",5.66666666666667,5.4375,5.52941176470588,5.72222222222222,5.64705882352941,5.22222222222222,5.35294117647059,5.11764705882353,5.06666666666667,5.47058823529412,2.64705882352941,3.11111111111111,3,2.63636363636364,2.77777777777778,NA,2.16666666666667,2.72222222222222,2.64705882352941,3.11764705882353
"P_M_gantz.png",5.6,5.29411764705882,5.44444444444444,5.27777777777778,5.64705882352941,5.05263157894737,5.5,5.29411764705882,4.53333333333333,5.22222222222222,2.76470588235294,2.83333333333333,3.21052631578947,2.72727272727273,2.57894736842105,2.16666666666667,NA,1.78947368421053,2.16666666666667,3.05882352941176
"P_M_lapid.png",4.86666666666667,4.88235294117647,5.38888888888889,5.27777777777778,5.23529411764706,5.10526315789474,5.38888888888889,4.88235294117647,4.13333333333333,4.72222222222222,2.82352941176471,3.05555555555556,2.78947368421053,2.72727272727273,2.73684210526316,2.72222222222222,1.78947368421053,NA,2.72222222222222,3.58823529411765
"P_M_saar.png",5.35714285714286,5.125,5.47058823529412,5.41176470588235,5.4375,4.77777777777778,5.11764705882353,5.1875,5.07142857142857,5.23529411764706,3,2.82352941176471,3,3,2.22222222222222,2.64705882352941,2.16666666666667,2.72222222222222,NA,3.23529411764706
"P_M_smut.png",5.64285714285714,5.53333333333333,5.8125,5.76470588235294,5.6875,5.70588235294118,5.5,5.25,5.28571428571429,5.625,3.875,2.88235294117647,2.76470588235294,4,2.41176470588235,3.11764705882353,3.05882352941176,3.58823529411765,3.23529411764706,NA
